number,objective_value,datetime_start,datetime_complete,duration,params_d,params_p,params_q,user_attrs_mape,user_attrs_rmse,user_attrs_stability_penalty,user_attrs_valid_model,state,category,model_family
24,103.0115701402536,2026-06-13 01:37:51.933339,2026-06-13 01:37:51.957649,0 days 00:00:00.024310,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
25,103.0115701402536,2026-06-13 01:37:51.957680,2026-06-13 01:37:51.981799,0 days 00:00:00.024119,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
27,103.0115701402536,2026-06-13 01:37:52.065282,2026-06-13 01:37:52.096635,0 days 00:00:00.031353,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
28,103.0115701402536,2026-06-13 01:37:52.096671,2026-06-13 01:37:52.125903,0 days 00:00:00.029232,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
30,103.0115701402536,2026-06-13 01:37:52.199178,2026-06-13 01:37:52.227204,0 days 00:00:00.028026,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
31,103.0115701402536,2026-06-13 01:37:52.227237,2026-06-13 01:37:52.252950,0 days 00:00:00.025713,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
32,103.0115701402536,2026-06-13 01:37:52.252981,2026-06-13 01:37:52.281272,0 days 00:00:00.028291,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
33,103.0115701402536,2026-06-13 01:37:52.281302,2026-06-13 01:37:52.309667,0 days 00:00:00.028365,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
34,103.0115701402536,2026-06-13 01:37:52.309701,2026-06-13 01:37:52.333821,0 days 00:00:00.024120,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
35,103.0115701402536,2026-06-13 01:37:52.333851,2026-06-13 01:37:52.357713,0 days 00:00:00.023862,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
36,103.0115701402536,2026-06-13 01:37:52.357762,2026-06-13 01:37:52.381120,0 days 00:00:00.023358,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
