dataset,model_family,model,category,mae,rmse,mape,objective_value,stability_penalty
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(1, 0, 0)",esporte_lazer,99.36845300183032,105.5623540452603,20.219094496848452,107.98002508858647,86.11572086756156
validation,arima,"ARIMA(1, 0, 0)",esporte_lazer,99.36845300183032,105.5623540452603,20.219094496848452,107.98002508858647,86.11572086756156
validation,arima,"ARIMA(0, 1, 1)",esporte_lazer,101.69598292594164,103.22432855475492,20.44728377683944,108.82582167634942,71.29838750407792
validation,arima,"ARIMA(0, 1, 1)",esporte_lazer,101.69598292594164,103.22432855475492,20.44728377683944,108.82582167634942,71.29838750407792
validation,arima,"ARIMA(0, 1, 1)",esporte_lazer,101.69598292594164,103.22432855475492,20.44728377683944,108.82582167634942,71.29838750407792
validation,arima,"ARIMA(0, 1, 1)",esporte_lazer,101.69598292594164,103.22432855475492,20.44728377683944,108.82582167634942,71.29838750407792
validation,arima,"ARIMA(1, 1, 0)",esporte_lazer,107.1932554709565,108.87696475758251,21.33494632774792,114.46727508495589,72.74019613999391
validation,arima,"ARIMA(1, 1, 0)",esporte_lazer,107.1932554709565,108.87696475758251,21.33494632774792,114.46727508495589,72.74019613999391
validation,arima,"ARIMA(1, 1, 0)",esporte_lazer,107.1932554709565,108.87696475758251,21.33494632774792,114.46727508495589,72.74019613999391
validation,arima,"ARIMA(0, 0, 1)",esporte_lazer,114.68537106074223,145.81553383324902,20.717661317063097,120.1501818942037,54.64810833461464
validation,arima,"ARIMA(0, 0, 1)",esporte_lazer,114.68537106074223,145.81553383324902,20.717661317063097,120.1501818942037,54.64810833461464
validation,arima,"ARIMA(1, 0, 1)",esporte_lazer,117.34027542348818,128.89366309756088,25.925104259739495,121.05569422727727,37.15418803789086
validation,arima,"ARIMA(1, 0, 1)",esporte_lazer,117.34027542348818,128.89366309756088,25.925104259739495,121.05569422727727,37.15418803789086
validation,arima,"ARIMA(2, 1, 0)",esporte_lazer,116.29449640119056,137.61996621386882,22.87754935955208,125.88317374672194,95.88677345531381
validation,arima,"ARIMA(2, 0, 2)",esporte_lazer,122.27369339723933,126.4376190720736,24.91690486309912,129.65556575161142,73.81872354372096
validation,arima,"ARIMA(2, 0, 0)",esporte_lazer,131.5834101682864,138.36695657605944,26.962692857218578,139.46981023586113,78.86400067574715
validation,arima,"ARIMA(1, 1, 2)",esporte_lazer,137.8836642272791,146.75604806414856,29.64893179596297,143.65333342088877,57.69669193609684
validation,arima,"ARIMA(1, 1, 2)",esporte_lazer,137.8836642272791,146.75604806414856,29.64893179596297,143.65333342088877,57.69669193609684
validation,arima,"ARIMA(2, 1, 2)",esporte_lazer,158.5657316862756,172.16590856617373,33.75293974844234,166.66248906978305,80.96757383507453
validation,arima,"ARIMA(0, 0, 0)",esporte_lazer,178.3378613774939,210.13179558828222,32.23179148189425,180.65042739169834,23.125660142044378
validation,arima,"ARIMA(0, 0, 0)",esporte_lazer,178.3378613774939,210.13179558828222,32.23179148189425,180.65042739169834,23.125660142044378
